voyageID,masterID,agentID,vesselID,matchID,agent,rev,tonnage,masterExp,matchExp,voyageLength,yearOut,yearIn,voyageRank,voyageName,port,ground,dayout,dayin,bone,sperm,oil,crewlistlink,fate,rig,builtDate,rig_Bark,rig_Brig,rig_DSchr,rig_Gall,rig_GSchr,rig_Gyawl,rig_Sbark,rig_SBgtn,rig_SBktn,rig_Scow,rig_Schr,rig_Sloop,rig_SSchr,rig_Ship,rig_Snow,rig_Str,rig_others,steamer,nmaster,nagent,nvoyage,pop_baleen,pop_sperm,lntonnage,lnmasterExp,lnmatchExp,lnvoyageLength,lnnmaster,lnnagent,lnnvoyage,lnpop_baleen,lnpop_sperm,lnrev,temp,agentExp,lnagentExp,ncrew_diff,lnncrew,ncrew_orig,ncrew_pred,ncrew,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch,lnwhale_catch,pop_whale,lnpop_whale
AV08177,1502,1,380,6,"Adams, Atkins",1.8938137,279.5,1,1,6,1845,1850,1,LaGrange : 1845-1850,"Fairhaven, MA  ",,1845 Jul 17,1850,2.272,.34,.99,1,,Bark,1824,1,,,,,,,,,,,,,0,,,0,0,920,250,727,398.51654,1273.3252,5.6330023,0,0,1.7917595,6.8243737,5.521461,6.5889263,5.9877491,7.1493869,1.0625752,1830,16,2.7725887,4.9585609,3.0445225,21,24.958979,21.000002,14.96,18.15,4.9984002,18.15,33.110001,3.4998353,1215428.9,14.010608
AV04169,2337,1,195,9,"Adams, Atkins",12.10041,405.5,11,1,4,1846,1849,1,Eliza Adams : 1846-1849,"Fairhaven, MA  ",Pacific,1846,1849,41.66,.15000001,2.95,1,,Ship,1835,0,,,,,,,,,,,,,1,,,0,0,904,254,729,388.1824,1261.6581,6.0051208,2.3978953,0,1.3862944,6.8068295,5.5373344,6.5916739,5.9614754,7.140182,2.5726435,1830,17,2.8332133,24.5355,3.4165621,30.4645,29.859789,30.4645,6.6000004,54.083332,91.652,91.652,98.251999,4.5875354,1202733.8,14.000108
AV01299,2923,1,878,13,"Adams, Atkins",3.0802641,330,6,6,5,1846,1850,1,Atkins Adams : 1846-1850,"Fairhaven, MA  ",Pacific,1846,1850,0,2.2,0,1,,Bark / Ship,1846,1,,,,,,,,,,,,,1,,,0,0,920,250,727,389.25031,1265.1289,5.7990928,1.7917595,1.7917595,1.6094379,6.8243737,5.521461,6.5889263,5.9642224,7.1429291,1.4061617,1830,17,2.8332133,5.3900127,3.1354942,23,27.542074,23,96.800003,0,0,0,96.800003,4.5726471,1202733.8,14.000108
AV17168,4566,1,1766,22,"Adams, Atkins",0,301,20,5,1,1848,1848,1,Martha II : 1848,"Fairhaven, MA  ",,1848 May 23,1848,0,0,0,1,,Bark / Ship,1818,1,,,,,,,,,,,,,1,,,0,0,944,271,800,339.16833,1137.1746,5.7071104,2.9957323,1.6094379,0,6.8501263,5.602119,6.6846118,5.8264966,7.0363021,0,1830,19,2.9444389,.85754776,3.2188759,25,25.70188,25.000002,0,0,0,0,0,,1181074.4,13.981936
AV09158,4566,1,1766,22,"Adams, Atkins",2.2923474,301,21,6,4,1848,1851,1,Martha II : 1848-1851,"Fairhaven, MA  ",,1848 Nov 25,1851,0,1.552,0,1,,Bark / Ship,1818,1,,,,,,,,,,,,,1,,,0,0,989,265,833,325.73187,1092.1245,5.7071104,3.0445225,1.7917595,1.3862944,6.8966942,5.57973,6.7250338,5.7860746,6.9958801,1.1916008,1830,19,2.9444389,16.520813,3.3134289,27.479187,26.84664,27.479187,68.288002,0,0,0,68.288002,4.2237339,1181074.4,13.981936
AV07462,4850,1,338,25,"Adams, Atkins",1.3233079,291,1,1,5,1849,1853,1,Java II : 1849-1853,"Fairhaven, MA  ",Pacific,1849 Oct 26,1853,0,.89999998,.031,1,L,Bark / Ship,1818,1,,,,,,,,,,,,,1,,,0,0,1056,266,895,297.50418,1011.4349,5.6733232,0,0,1.6094379,6.9622436,5.5834961,6.7968235,5.6954284,6.9191251,.84299195,1830,20,2.9957323,.046171188,3.2958369,27,26.32242,27.000002,39.599998,.56833333,0,.56833333,40.168331,3.693079,1171500.5,13.973796
AV01476,3271,4,900,35,"Adams, Freeman E.",.40769169,234,15,1,6,1866,1871,1,B. Colcord : 1866-1871,"Nantucket, MA  ",Pacific,1866 Nov 6,1871,.723,0,0,1,,Bark,,1,,,,,,,,,,,,,0,,,0,0,391,100,302,698.41547,2872.2219,5.4553213,2.7080503,0,1.7917595,5.9687076,4.6051702,5.7104268,6.5488143,7.962841,.34195125,1865,2,.69314718,3.1192894,3.1354942,23,25.888535,23,0,0,1.5906,1.5906,1.5906,.4641113,1078332.5,13.890926
AV09167,4949,4,1762,38,"Adams, Freeman E.",.50508332,132,11,1,6,1866,1871,1,Martha Wrightington : 1866-1871,"Nantucket, MA  ",Pacific,1866 Jul 2,1871,0,.30000001,.37,1,L,Bark,1852,1,,,,,,,,,,,,,0,,,0,0,391,100,302,698.41547,2872.2219,4.882802,2.3978953,0,1.7917595,5.9687076,4.6051702,5.7104268,6.5488143,7.962841,.40884826,1865,2,.69314718,3.7519894,3.1354942,23,19.089321,23,13.200001,6.7833333,0,6.7833333,19.983334,2.9948986,1078332.5,13.890926
AV04671,1199,4,196,32,"Adams, Freeman E.",.23663999,107,18,3,2,1867,1868,1,Eunice H. Adams : 1867-1868,"Nantucket, MA  ","Atlantic, W Indies",1867 May 1,1868 Sep 26,0,.17,0,1,,Brig / Schr,1845,0,1,,,,,,,,,1,,,0,,,1,0,522,119,422,498.33438,2055.3772,4.6728287,2.8903718,1.0986123,.69314718,6.2576675,4.7791233,6.0450053,6.2112713,7.6282148,.21239802,1865,3,1.0986123,4.4440174,2.6390574,14,18.832064,14.000001,7.48,0,0,0,7.48,2.0122328,1077666.3,13.890308
AV10669,826,4,1935,31,"Adams, Freeman E.",.74665028,152,11,1,3,1867,1869,1,Oak : 1867-1869,"Nantucket, MA  ",,1867,1869,0,.56999999,.015,1,L,Bark,1849,1,,,,,,,,,,,,,0,,,0,0,490,121,399,527.06042,2173.8577,5.0238805,2.3978953,0,1.0986123,6.1944056,4.7957907,5.9889612,6.2673154,7.6842585,.5576998,1865,3,1.0986123,2.4734192,3.1780539,24,21.795031,24,25.08,.27500001,0,.27500001,25.355,3.232976,1077666.3,13.890308
AV04672,1199,4,196,32,"Adams, Freeman E.",.57387567,107,20,5,2,1869,1870,1,Eunice H. Adams : 1869-1870,"Nantucket, MA  ",,1869 Mar 30,1870,0,.55000001,.01,1,,Brig / Schr,1845,0,1,,,,,,,,,1,,,0,,,1,0,444,113,357,587.62927,2426.1572,4.6728287,2.9957323,1.6094379,.69314718,6.0958247,4.7273879,5.8777356,6.3760962,7.794064,.45354116,1865,5,1.6094379,2.4770603,3.0445225,21,18.771265,21.000002,24.200001,.18333334,0,.18333334,24.383333,3.1938999,1075921.8,13.888688
AV10670,4850,4,1935,37,"Adams, Freeman E.",.30764166,152,11,1,4,1869,1872,1,Oak : 1869-1872,"Nantucket, MA  ",Pacific,1869 Nov 15,1872,0,.059999999,.45,1,L,Bark,1849,1,,,,,,,,,,,,,0,,,0,0,329,88,229,916.08575,3782.2625,5.0238805,2.3978953,0,1.3862944,5.7960577,4.4773369,5.433722,6.8201098,8.2380781,.26822525,1865,5,1.6094379,2.5530682,3.1780539,24,21.494881,24,2.6399999,8.25,0,8.25,10.889999,2.3878448,1075921.8,13.888688
AV06084,3554,6,284,62,"Adams, Zenas L.",.56781995,137,1,1,4,1866,1869,1,Hamilton : 1866-1869,"New Bedford, MA  ",S Pacific,1866 Jun 4,1869,0,.44,0,1,L,Bark,1845,1,,,,,,,,,,,,,0,,,0,0,490,121,399,528.62524,2173.9624,4.919981,0,0,1.3862944,6.1944056,4.7957907,5.9889612,6.2702799,7.6843066,.44968608,1848,19,2.9444389,2.3221741,3.0910425,22,19.596479,22.000002,19.360001,0,0,0,19.360001,2.9632092,1078332.5,13.890926
AV06526,3475,6,265,60,"Adams, Zenas L.",1.2744793,301.5,13,8,3,1867,1869,1,Herald II : 1867-1869,"New Bedford, MA  ",Indian,1867 Apr 29,1869,0,.94700003,.071,1,L,Bark / Ship,1818,1,,,,,,,,,,,,,1,,,0,0,490,121,399,527.06042,2173.8577,5.7087698,2.5649493,2.0794415,1.0986123,6.1944056,4.7957907,5.9889612,6.2673154,7.6842585,.82175112,1848,20,2.9957323,.73803902,3.2958369,27,27.614717,27.000002,41.667999,1.3016666,0,1.3016666,42.969666,3.7604945,1077666.3,13.890308
AV06528,4594,6,265,64,"Adams, Zenas L.",1.7334347,301.5,4,4,4,1869,1872,1,Herald II : 1869-1872,"New Bedford, MA  ",Pacific,1869 Aug 13,1872,.3,1.1799999,.08,1,,Bark / Ship,1818,1,,,,,,,,,,,,,1,,,0,0,329,88,229,916.08575,3782.2625,5.7087698,1.3862944,1.3862944,1.3862944,5.7960577,4.4773369,5.433722,6.8201098,8.2380781,1.005559,1848,22,3.0910425,2.0535183,3.2580965,26,27.96163,25.999998,51.919998,1.4666667,.66000003,1.4666667,53.386665,3.977561,1075921.8,13.888688
AV07224,2630,7,431,78,Aiken & Swift,5.3759999,346,28,1,5,1877,1881,1,Jacob A. Howland : 1877-1881,"New Bedford, MA  ",Pacific,1877 Sep 25,1881 Aug 7,2,2.05,.65,1,L,Bark,1877,1,,,,,,,,,,,,,0,,,0,0,263,65,212,1026.8837,4087.0012,5.8464389,3.3322046,0,1.6094379,5.572154,4.1743875,5.3565865,6.9342837,8.315567,1.852541,1877,1,0,5.0674534,3.4657359,32,27.859451,32,90.199997,11.916667,4.4000001,11.916667,102.11666,4.6261158,1084143.6,13.896301
AV06549,3282,7,262,86,Aiken & Swift,1.8253999,393.33334,1,1,4,1879,1882,1,Hercules : 1879-1882,"New Bedford, MA  ",Atlantic,1879 Oct 13,1882,0,1.5,.44,1,,Bark / Ship,1816,1,,,,,,,,,,,,,1,,,0,0,240,57,186,1184.6403,4658.1719,5.9746575,0,0,1.3862944,5.480639,4.0430512,5.2257466,7.0771942,8.4463787,1.0386499,1877,3,1.0986123,5.3447227,3.4657359,32,27.506403,32,66,8.0666666,0,8.0666666,74.066666,4.3049655,1086763.1,13.898714
AV03575,2100,7,157,73,Aiken & Swift,0,331.5,8,1,2,1880,1881,1,Daniel Webster : 1880-1881,"New Bedford, MA  ",N Pacific ,1880 Nov 29,1881 Jul,0,0,0,1,,Bark / Ship,1838,1,,,,,,,,,,,,,1,,,0,0,263,65,212,1043.8975,4087.7761,5.803628,2.0794415,0,.69314718,5.572154,4.1743875,5.3565865,6.9507165,8.3157568,0,1877,4,1.3862944,.74764824,3.2580965,26,25.969839,25.999998,0,0,0,0,0,,1087914.9,13.899774
AV07892,3032,7,433,83,Aiken & Swift,8.9980001,375,12,1,2,1880,1881,1,Josephine : 1880-1881,"New Bedford, MA  ","Atlantic O, Pacific",1880 Oct 4,1881,5,.2,1.4,1,,Bark,1877,1,,,,,,,,,,,,,0,,,0,0,263,65,212,1043.8975,4087.7761,5.9269261,2.4849067,0,.69314718,5.572154,4.1743875,5.3565865,6.9507165,8.3157568,2.3023851,1877,4,1.3862944,7.33918,3.4965076,33,26.499126,33.000004,8.8000002,25.666666,11,25.666666,34.466667,3.5399926,1087914.9,13.899774
AV04704,237,7,182,67,Aiken & Swift,44.488579,351.5,12,1,5,1880,1884,1,Europa : 1880-1884,"New Bedford, MA  ","Atlantic O, Pacific",1880 Apr 7,1884 May 18,11,1.04,2.84,1,L,Bark / Ship,1851,1,,,,,,,,,,,,,1,,,0,0,223,52,184,1202.7515,4709.8291,5.8622098,2.4849067,0,1.6094379,5.4071717,3.9512436,5.2149358,7.0923672,8.457407,3.8174613,1877,4,1.3862944,7.632637,3.5553482,35,27.88673,35.000004,45.759998,52.066666,24.200001,52.066666,97.82666,4.5831971,1087914.9,13.899774
AV10801,2570,7,499,77,Aiken & Swift,14.001,363.66666,20,1,2,1881,1882,1,Ohio II : 1881-1882,"New Bedford, MA  ",N Pacific ,1881 Dec 12,1882,8,0,.6,1,L,Bark / Ship,1833,1,,,,,,,,,,,,,1,,,0,0,240,57,186,1193.8293,4660.9097,5.8962379,2.9957323,0,.69314718,5.480639,4.0430512,5.2257466,7.0849214,8.4469662,2.708117,1877,5,1.6094379,2.295105,3.3322046,28,26.466457,28.000002,0,11,17.6,17.6,17.6,2.8678989,1088981.5,13.900753
AV12224,239,7,573,68,Aiken & Swift,5.6592503,348.5,5,1,2,1881,1882,1,Reindeer II : 1881-1882,"New Bedford, MA  ",Atlantic,1881 Apr 11,1882,3.2,0,.35,1,,Bark,1877,1,,,,,,,,,,,,,0,,,0,0,240,57,186,1193.8293,4660.9097,5.8536382,1.6094379,0,.69314718,5.480639,4.0430512,5.2257466,7.0849214,8.4469662,1.8960069,1877,5,1.6094379,7.4415379,3.4965076,33,26.27565,33.000004,0,6.4166665,7.04,7.04,7.04,1.9516082,1088981.5,13.900753
AV05673,3074,7,231,84,Aiken & Swift,19.2915,328.66666,28,6,2,1881,1882,1,George and Susan : 1881-1882,"New Bedford, MA  ",N Pacific ,1881 Oct 24,1882,11,0,.9,1,,Bark / Ship,1809,1,,,,,,,,,,,,,1,,,0,0,240,57,186,1193.8293,4660.9097,5.7950439,3.3322046,1.7917595,.69314718,5.480639,4.0430512,5.2257466,7.0849214,8.4469662,3.0102022,1877,5,1.6094379,1.6622887,3.2958369,27,26.000208,27.000002,0,16.5,24.200001,24.200001,24.200001,3.1863527,1088981.5,13.900753
AV07225,3692,7,431,88,Aiken & Swift,27.218674,346,17,1,3,1881,1883,1,Jacob A. Howland : 1881-1883,"New Bedford, MA  ",N Pacific ,1881 Sep 14,1883 Nov 18,9,.13,.6,1,,Bark,1877,1,,,,,,,,,,,,,0,,,0,0,227,57,188,1181.129,4611.3257,5.8464389,2.8332133,0,1.0986123,5.4249501,4.0430512,5.2364421,7.0742259,8.4362707,3.3399839,1877,5,1.6094379,2.9055271,3.3672957,29,26.755896,28.999998,5.7199998,11,19.799999,19.799999,25.519999,3.2394624,1088981.5,13.900753
AV03159,5248,7,131,97,Aiken & Swift,1.7158334,347.66666,9,1,4,1881,1884,1,Commodore Morris : 1881-1884,"New Bedford, MA  ",Atlantic,1881 Apr 4,1884,0,2.1300001,0,1,,Bark / Ship,1841,1,,,,,,,,,,,,,1,,,0,0,223,52,184,1206.8057,4711.5718,5.851244,2.1972246,0,1.3862944,5.4071717,3.9512436,5.2149358,7.0957322,8.457777,.9990989,1877,5,1.6094379,5.1890602,3.4657359,32,27.375677,32,93.720001,0,0,0,93.720001,4.5403118,1088981.5,13.900753
AV03717,1467,7,144,70,Aiken & Swift,1.4049963,256,13,1,4,1882,1885,1,Desdemona : 1882-1885,"New Bedford, MA  ",Atlantic,1882 May 29,1885,0,1.48,.21,1,,Bark / Ship,1823,1,,,,,,,,,,,,,1,,,0,0,223,48,185,1206.4412,4689.5044,5.5451775,2.5649493,0,1.3862944,5.4071717,3.871201,5.220356,7.0954299,8.4530821,.87754834,1877,6,1.7917595,4.3405685,3.4011974,30,25.95273,30.000002,65.120003,3.8499999,0,3.8499999,68.970001,4.2336717,1090749.9,13.902376
AV12631,5155,7,559,95,Aiken & Swift,5.257163,305.5,16,1,5,1882,1886,1,Rousseau : 1882-1886,"New Bedford, MA  ",Atlantic,1882 Jun 5,1886,1.4,1.36,.18,1,,Bark / Ship,1801,1,,,,,,,,,,,,,1,,,0,0,202,46,165,1352.6764,5257.9292,5.7219496,2.7725887,0,1.6094379,5.3082676,3.8286414,5.1059456,7.2098403,8.5674925,1.8337269,1877,6,1.7917595,1.8952217,3.3672957,29,27.427629,28.999998,59.84,3.3,3.0799999,3.3,63.139999,4.1453543,1090749.9,13.902376
AV13627,3282,7,616,86,Aiken & Swift,28.587984,360.66666,5,5,5,1883,1887,1,Swallow : 1883-1887,"New Bedford, MA  ",N Pacific ,1883 Apr 23,1887,8,1.9400001,1.175,1,,Bark / Ship,1856,1,,,,,,,,,,,,,1,,,0,0,180,40,152,1477.182,5714.5024,5.8879542,1.6094379,1.6094379,1.6094379,5.1929569,3.6888795,5.0238805,7.2978916,8.6507626,3.3873684,1877,7,1.9459101,3.2233658,3.4339871,31,28.246096,30.999998,85.360001,21.541666,17.6,21.541666,106.90166,4.6719093,1093136,13.904561
AV04705,4997,7,182,94,Aiken & Swift,43.878613,351.5,5,1,2,1884,1885,1,Europa : 1884-1885,"New Bedford, MA  ",N Pacific ,1884 Jul 21,1885,15,0,1.45,1,L,Bark / Ship,1851,1,,,,,,,,,,,,,1,,,0,0,223,48,185,1222.6104,4702.0059,5.8622098,1.6094379,0,.69314718,5.4071717,3.871201,5.220356,7.1087437,8.4557447,3.8039613,1877,8,2.0794415,8.1367168,3.5263605,34,26.526459,34,0,26.583334,33,33,33,3.4965076,1096054,13.907227
AV08433,2394,8,2500,104,"Alden, John",.052727271,100,4,1,1,1815,1815,1,Liberty : 1815,"Fairhaven, MA  ",Atlantic,1815 Jul 11,1815 Sep 7,0,.1,0,1,,Schr,1804,0,,,,,,,,,,1,,,0,,,1,0,135,8,97,3752.394,11369.241,4.6051702,1.3862944,0,0,4.9052749,2.0794415,4.5747108,8.2301493,9.3386669,.051384199,1794,22,3.0910425,4.7251396,2.6390574,14,11.06474,14.000001,4.4000001,0,0,0,4.4000001,1.4816046,1466798.6,14.198593
AV08434,2394,8,2500,104,"Alden, John",0,100,5,2,1,1815,1815,1,Liberty : 1815,"Fairhaven, MA  ",,1815 Sep 1,1815 Oct,0,0,0,1,,Schr,1804,0,,,,,,,,,,1,,,0,,,1,0,135,8,97,3752.394,11369.241,4.6051702,1.6094379,.69314718,0,4.9052749,2.0794415,4.5747108,8.2301493,9.3386669,0,1794,22,3.0910425,10.72514,2.9957323,20,11.06474,20,0,0,0,0,0,,1466798.6,14.198593
AV01644,2327,9,918,117,"Allen, Edmund",16.446281,320,5,1,9,1844,1852,1,Belle : 1844-1852,"Fairhaven, MA  ",Pacific O,1844 Dec 9,1852,19,2.95,1.274,1,,Bark,1844,1,,,,,,,,,,,,,0,,,0,0,1002,271,800,370.32404,1164.9786,5.768321,1.6094379,0,2.1972246,6.9097533,5.602119,6.6846118,5.9143782,7.0604582,2.8591266,1844,1,0,8.2693424,3.1354942,23,28.459042,23,129.8,23.356667,41.799999,41.799999,171.60001,5.1451664,1228242.1,14.021094
AV13677,2011,9,2303,115,"Allen, Edmund",3.8369646,336.5,10,1,4,1847,1850,1,Sylph : 1847-1850,"Fairhaven, MA  ",Pacific,1847 Jul 8,1850,4,1.5039999,.4,1,,Ship,1847,0,,,,,,,,,,,,,1,,,0,0,920,250,727,381.05954,1258.0106,5.8185983,2.3025851,0,1.3862944,6.8243737,5.521461,6.5889263,5.9429555,7.1372867,1.5762874,1844,4,1.3862944,1.793539,3.2958369,27,28.13578,27.000002,66.175995,7.3333335,8.8000002,8.8000002,74.975998,4.3171682,1191604,13.99081
AV01196,2069,9,864,116,"Allen, Edmund",20.690809,428,13,1,5,1850,1854,1,Arctic : 1850-1854,"Fairhaven, MA  ",,1850,1854,44.893,.079999998,2.594,1,,Bark / Ship,1850,1,,,,,,,,,,,,,1,,,0,0,1042,255,855,305.54852,1054.319,6.059123,2.5649493,0,1.6094379,6.9488974,5.5412636,6.7511015,5.7221084,6.9606504,3.0768886,1844,7,1.9459101,.35281754,3.4339871,31,30.594624,30.999998,3.52,47.556667,98.764603,98.764603,102.2846,4.627759,1162686.8,13.966244
